standard_SMILES;average_pIC50
Cn1nncc1C(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1;6.401038355407117
O=C(Nc1cncc2ccccc12)C1CN(C(=O)c2ncco2)Cc2ccc(Cl)cc21;6.037063733470846
Cc1nocc1C(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1;6.775505352678106
Cn1nccc1C(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1;6.808733543207488
Cn1cncc1C(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1;6.650184656395137
CS(=O)(=O)NCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21;5.4120830110348574
CN(C)S(=O)(=O)NCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21;5.564621488275355
COC(=O)NCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21;6.242037020741641
C=CC(=O)NCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21;6.059971618423032
CC(=O)NCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21;5.4756245572398115
CN(C)C(=O)CNCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21;6.219932129038691
COc1ccc2cncc(NC(=O)C3(OC)CCOc4ccc(Cl)cc43)c2c1;6.926784783998915
COC1(C(=O)Nc2cncc3ccc(S(C)(=O)=O)cc23)CCOc2ccc(Cl)cc21;6.372144398183694
COc1ccc2cncc(NC(=O)C3CCOc4cc(F)c(Cl)cc43)c2c1;6.970423413965184
CS(=O)(=O)c1ccc2cncc(NC(=O)C3CCOc4cc(F)c(Cl)cc43)c2c1;5.80938638822856
O=C(Nc1cncc2ccc(F)cc12)C1CCOc2cc(F)c(Cl)cc21;6.502847420045941
COc1ccc2cncc(NC(=O)C3CCNc4cc(Cl)c(Cl)cc43)c2c1;6.883490998898905
COC(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1;6.650436121312674
CCOC(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1;6.626217581355247
CNCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21;4.9789786813722445
CN(C)CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21;4.938054860978628
CNC(=O)COCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21;5.738773352429638
O=C(O)CCc1cc2c(cc1S(=O)(=O)N1CCN(c3ccccc3)CC1)OCO2;4.002176919254275
CCCc1cc2c(cc1S(=O)(=O)N1CCN(c3ncccn3)CC1)OCO2;4.002176919254275
CCCc1cc2c(cc1S(=O)(=O)N1CCN(c3cccc(Cl)c3Cl)CC1)OCO2;4.002176919254275
CCCc1cc2c(cc1S(=O)(=O)N1CCN(c3ccccc3OC)CC1)OCO2;4.002176919254275
Cc1cc2c(cc1S(=O)(=O)N1CCN(c3ccccc3)CC1)OCO2;4.002176919254275
CNS(=O)(=O)c1cc2c(cc1OCc1ccccc1)OCO2;4.002176919254275
O=S(=O)(Nc1ccccc1)c1cc2c(cc1OCc1ccccc1)OCO2;4.1375749541592155
O=S(=O)(Nc1cc2c(cc1OCc1ccccc1)OCO2)c1ccccc1;4.002176919254275
O=S(=O)(c1cc2c(cc1OCc1ccccc1)OCO2)N1CCOCC1;4.002176919254275
CO[C@]1(C(=O)Nc2cncc3ccccc23)CCOc2cc(F)c(Cl)cc21;6.904837184319979
CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2cc(F)c(Cl)cc21;4.159560379632881
O=C(O)CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21;4.503088439554908
CC(C)(C)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cc(=O)[nH]c3ccccc23)cc1;5.934645029025896
O=C(Nc1cncc2ccccc12)[C@@H]1CNCc2ccc(Cl)cc21;6.5404144641937805
O=C(Nc1cncc2ccccc12)[C@H]1CNCc2ccc(Cl)cc21;4.481876296924861
O=C(Nc1cncc2ccccc12)C1CCOc2c(OCc3ccccn3)cc(Cl)cc21;5.191800613557095
O=C(Nc1cncc2ccccc12)C1CCOc2c(OCc3cccnc3)cc(Cl)cc21;4.603107957667002
O=C(Nc1cncc2ccccc12)C1CCOc2c(OCc3ccncc3)cc(Cl)cc21;5.461622517644884
Cc1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1;6.2699593380916445
Cc1cccc2c(NC(=O)Cc3cccc(Cl)c3)cncc12;4.002176919254275
O=C(Cc1cccc(Cl)c1)NC1C(=O)NCc2ccccc21;4.002176919254275
O=C(Cc1cccc(Cl)c1)Nc1cncc2c1[nH]nc2;5.677042941999828
O=C(Cc1cccc(Cl)c1)Nc1cncc2c1cn[nH]2;4.661228572466436
Cn1ncc2cncc(NC(=O)Cc3cccc(Cl)c3)c21;5.825061211759255
O=C(Cc1cccc(Cl)c1)NC1COCc2ccccc21;4.161452853195346
O=C(Cc1cccc(Cl)c1)NC1CS(=O)(=O)Cc2ccccc21;4.002176919254275
